timestamp,question_id,question_text,transcript,asr_confidence,best_reference,semantic_similarity,final_score_0_10,audio_path,audio_url
2025-11-19T03:49:46.442466,Q067,What is a boot process?,Process is the process to start the computer and load the OIS.,0.565857807,Boot process is the sequence of steps to start a computer and load the OS.,0.662134,6.62,D:\oral_evaluator_project_updated\outputs\audio_records\Q067_1.wav,/audio/Q067_1.wav
2025-11-20T03:07:01.876592,Q406,What is non-preemptive scheduling?,,,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently.",0.046877,0.47,D:\oral_evaluator_project_updated\outputs\audio_records\Q406.wav,/audio/Q406.wav
2025-11-20T03:13:05.862776,Q480,What is a kernel thread?,,,"Kernel thread plays an essential role in process management, helping the operating system to function efficiently.",0.028389,0.28,D:\oral_evaluator_project_updated\outputs\audio_records\Q480.wav,/audio/Q480.wav
2025-11-20T03:26:19.587288,Q369,What is an inode?,,,"Inode plays an essential role in file systems, helping the operating system to function efficiently.",0.003756,0.04,D:\oral_evaluator_project_updated\outputs\audio_records\Q369_1.wav,/audio/Q369_1.wav
2025-11-20T09:02:49.738323,Q444,What is a distributed file system?,es,0.009337048,"Distributed file system plays an essential role in file systems, helping the operating system to function efficiently.",0.051856,0.52,D:\oral_evaluator_project_updated\outputs\audio_records\Q444.wav,/audio/Q444.wav
2025-11-21T13:51:00.192177,Q010,Differentiate between monolithic and microkernel OS.,Monolithic kernel has all the services in one kernel. Micro kernel has different kernels for all the services.,0.589072496,Monolithic OS has all services in one kernel; microkernel OS keeps minimal services in kernel and others in user space for modularity.,0.854337,8.54,D:\oral_evaluator_project_updated\outputs\audio_records\Q010.wav,/audio/Q010.wav
2025-11-21T14:15:50.112788,Q045,What is virtual file system (VFS)?,"Virtual file system is abstraction, layer that allows multiple files to access OS.",0.583944429,VFS is an abstraction layer that allows the OS to support multiple types of file systems in a uniform way.,0.833926,8.34,D:\oral_evaluator_project_updated\outputs\audio_records\Q045_1.wav,/audio/Q045_1.wav
"2025-11-21T23:09:07.152505","Q199","What is a socket?","","","Endpoint for bidirectional network communication.","0.15867","1.59","D:\oral_evaluator_project_updated\outputs\audio_records\Q199.wav","/audio/Q199.wav"
"2025-11-21T23:09:07.152505","Q199","What is a socket?","","","Endpoint for bidirectional network communication.","0.15867","1.59","D:\oral_evaluator_project_updated\outputs\audio_records\Q199.wav","/audio/Q199.wav"
"2025-11-22T04:50:13.534751","Q246","What is bootloader?","Anita","0.009555739521951892","Program that loads the OS into memory during startup.","0.054724","0.55","D:\oral_evaluator_project_updated\outputs\audio_records\Q246.wav","/audio/Q246.wav"
"2025-11-22T04:50:13.534751","Q246","What is bootloader?","Anita","0.009555739521951892","Program that loads the OS into memory during startup.","0.054724","0.55","D:\oral_evaluator_project_updated\outputs\audio_records\Q246.wav","/audio/Q246.wav"
"2025-11-22T04:58:13.129218","Q249","Difference between user mode and kernel mode?","The more has restricted access, the more has a full hardware access.","0.390824394846524","User mode has restricted access; kernel mode has full hardware access.","0.389746","3.9","D:\oral_evaluator_project_updated\outputs\audio_records\Q249.wav","/audio/Q249.wav"
"2025-11-22T04:58:13.129218","Q249","Difference between user mode and kernel mode?","The more has restricted access, the more has a full hardware access.","0.390824394846524","User mode has restricted access; kernel mode has full hardware access.","0.389746","3.9","D:\oral_evaluator_project_updated\outputs\audio_records\Q249.wav","/audio/Q249.wav"
"2025-11-22T05:15:38.121669","Q219","What is a kernel thread?","Colonel thread is a operating system thread which is helping you know efficiently using the system.","0.5892733572797211","A kernel thread is managed by the OS kernel and has full access to system resources.","0.602193","6.02","D:\oral_evaluator_project_updated\outputs\audio_records\Q219.wav","/audio/Q219.wav"
"2025-11-22T05:15:38.121669","Q219","What is a kernel thread?","Colonel thread is a operating system thread which is helping you know efficiently using the system.","0.5892733572797211","A kernel thread is managed by the OS kernel and has full access to system resources.","0.602193","6.02","D:\oral_evaluator_project_updated\outputs\audio_records\Q219.wav","/audio/Q219.wav"
