question_id,ref_id,reference_answer_text
Q009,R3,"In simple terms, kernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q010,R1,Monolithic OS has all services in one kernel; microkernel OS keeps minimal services in kernel and others in user space for modularity.
Q010,R2,"Monolithic  microkernel os plays an essential role in os basics, helping the operating system to function efficiently."
Q010,R3,"In simple terms, monolithic  microkernel os refers to a mechanism or principle used in os basics to manage processes or resources."
Q011,R1,Virtual memory is memory management technique that gives an application the illusion of large continuous memory using disk space.
Q011,R2,"Virtual memory plays an essential role in memory management, helping the operating system to function efficiently."
Q011,R3,"In simple terms, virtual memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q011,R1,Provides an abstraction of memory using disk storage to extend physical RAM.
Q011,R2,"Virtual memory plays an essential role in memory management, helping the operating system to function efficiently."
Q011,R3,"In simple terms, virtual memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q012,R1,Paging divides memory into fixed-size pages to eliminate fragmentation and map virtual memory to physical memory.
Q012,R2,"Paging plays an essential role in memory management, helping the operating system to function efficiently."
Q012,R3,"In simple terms, paging refers to a mechanism or principle used in memory management to manage processes or resources."
Q012,R1,Dividing memory into fixed-size pages for efficient allocation and mapping virtual memory.
Q012,R2,"Paging plays an essential role in memory management, helping the operating system to function efficiently."
Q012,R3,"In simple terms, paging refers to a mechanism or principle used in memory management to manage processes or resources."
Q013,R1,"Segmentation divides memory into variable-sized segments based on logical divisions of a program, like code, data, stack."
Q013,R2,"Segmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q013,R3,"In simple terms, segmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q014,R1,"A page fault occurs when a program accesses a page not currently in physical memory, triggering loading from disk."
Q014,R2,"Page fault plays an essential role in virtual memory, helping the operating system to function efficiently."
Q014,R3,"In simple terms, page fault refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q014,R1,"Occurs when a process accesses a page not in memory, triggering loading from disk."
Q014,R2,"Page fault plays an essential role in virtual memory, helping the operating system to function efficiently."
Q014,R3,"In simple terms, page fault refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q015,R1,"Demand paging loads a page into memory only when it is required by the process, reducing memory usage."
Q015,R2,"Dem paging plays an essential role in memory management, helping the operating system to function efficiently."
Q015,R3,"In simple terms, dem paging refers to a mechanism or principle used in memory management to manage processes or resources."
Q016,R1,Thrashing occurs when excessive page swapping reduces system performance due to lack of sufficient memory.
Q016,R2,"Thrashing plays an essential role in os basics, helping the operating system to function efficiently."
Q016,R3,"In simple terms, thrashing refers to a mechanism or principle used in os basics to manage processes or resources."
Q016,R1,Excessive page swapping that slows down system performance.
Q016,R2,"Thrashing plays an essential role in os basics, helping the operating system to function efficiently."
Q016,R3,"In simple terms, thrashing refers to a mechanism or principle used in os basics to manage processes or resources."
Q017,R1,Deadlock is a situation where processes are waiting indefinitely for resources held by each other.
Q017,R2,"Deadlock plays an essential role in deadlocks, helping the operating system to function efficiently."
Q017,R3,"In simple terms, deadlock refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q018,R1,"Mutual exclusion, hold and wait, no preemption, circular wait."
Q018,R2,"Name necessary conditions for deadlock plays an essential role in deadlocks, helping the operating system to function efficiently."
Q018,R3,"In simple terms, name necessary conditions for deadlock refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q019,R1,Process scheduling is deciding the order of execution of processes using algorithms to maximize CPU utilization.
Q019,R2,"Process scheduling plays an essential role in process management, helping the operating system to function efficiently."
Q019,R3,"In simple terms, process scheduling refers to a mechanism or principle used in process management to manage processes or resources."
Q020,R1,"FCFS, SJF, Priority, Round Robin, Multilevel Queue, Multilevel Feedback Queue."
Q020,R2,"Name cpu scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q020,R3,"In simple terms, name cpu scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q020,R1,"FCFS, SJF, Priority, Round Robin, Multilevel Queue, Multilevel Feedback Queue."
Q020,R2,"Name cpu scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q020,R3,"In simple terms, name cpu scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q020,R1,"FCFS, SJF, Priority, Round Robin, Multilevel Queue, Multilevel Feedback Queue."
Q020,R2,"Name cpu scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q020,R3,"In simple terms, name cpu scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q020,R1,"FCFS, SJF, Priority, Round Robin, Multilevel Queue, Multilevel Feedback Queue."
Q020,R2,"Name cpu scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q020,R3,"In simple terms, name cpu scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q020,R1,"FCFS, SJF, Priority, Round Robin, Multilevel Queue, Multilevel Feedback Queue."
Q020,R2,"Name cpu scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q020,R3,"In simple terms, name cpu scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q021,R1,First-Come-First-Serve schedules processes in the order they arrive.
Q021,R2,"Fcfs scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q021,R3,"In simple terms, fcfs scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q022,R1,Shortest Job First schedules the process with the smallest execution time next.
Q022,R2,"Sjf scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q022,R3,"In simple terms, sjf scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q023,R1,Preemptive scheduling allows a running process to be interrupted and replaced by a higher-priority process.
Q023,R2,"Preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q023,R3,"In simple terms, preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q023,R1,Allows running process to be interrupted by higher-priority process.
Q023,R2,"Preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q023,R3,"In simple terms, preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q023,R1,Allows running process to be interrupted by higher-priority process.
Q023,R2,"Preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q023,R3,"In simple terms, preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q023,R1,Allows running process to be interrupted by higher-priority process.
Q023,R2,"Preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q023,R3,"In simple terms, preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q023,R1,Allows running process to be interrupted by higher-priority process.
Q023,R2,"Preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q023,R3,"In simple terms, preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q024,R1,Non-preemptive scheduling does not interrupt a running process until it finishes or voluntarily yields CPU.
Q024,R2,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q024,R3,"In simple terms, non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q024,R1,Running process cannot be interrupted until it finishes or blocks.
Q024,R2,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q024,R3,"In simple terms, non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q024,R1,Running process cannot be interrupted until it finishes or blocks.
Q024,R2,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q024,R3,"In simple terms, non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q024,R1,Running process cannot be interrupted until it finishes or blocks.
Q024,R2,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q024,R3,"In simple terms, non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q024,R1,Running process cannot be interrupted until it finishes or blocks.
Q024,R2,"Non-preemptive scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q024,R3,"In simple terms, non-preemptive scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q025,R1,"Round-robin scheduling assigns fixed time slices to processes in cyclic order, ensuring fairness."
Q025,R2,"Round-robin scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q025,R3,"In simple terms, round-robin scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q025,R1,Assigns fixed time slices to processes in cyclic order for fairness.
Q025,R2,"Round-robin scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q025,R3,"In simple terms, round-robin scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q025,R1,Assigns fixed time slices to processes cyclically.
Q025,R2,"Round-robin scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q025,R3,"In simple terms, round-robin scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q025,R1,Assigns fixed time slices to processes cyclically for fairness.
Q025,R2,"Round-robin scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q025,R3,"In simple terms, round-robin scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q025,R1,Assigns fixed time slices to processes cyclically for fairness.
Q025,R2,"Round-robin scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q025,R3,"In simple terms, round-robin scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q026,R1,Priority scheduling runs the process with the highest priority next.
Q026,R2,"Priority scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q026,R3,"In simple terms, priority scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q027,R1,Starvation occurs when low-priority processes never get CPU due to constant high-priority process arrival.
Q027,R2,"Starvation in cpu scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q027,R3,"In simple terms, starvation in cpu scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q028,R1,Aging gradually increases priority of waiting processes to prevent starvation.
Q028,R2,"Aging in scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q028,R3,"In simple terms, aging in scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q029,R1,"A semaphore is a synchronization tool used to control access to shared resources, typically using integer counters."
Q029,R2,"Semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q029,R3,"In simple terms, semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q030,R1,"Binary semaphore can take 0 or 1 (mutual exclusion), counting semaphore can take any integer value for multiple resources."
Q030,R2,"Difference  binary  counting semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q030,R3,"In simple terms, difference  binary  counting semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q031,R1,Mutex (mutual exclusion) is a locking mechanism ensuring that only one thread accesses a resource at a time.
Q031,R2,"Mutex plays an essential role in deadlocks, helping the operating system to function efficiently."
Q031,R3,"In simple terms, mutex refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q031,R1,Mutex (mutual exclusion) allows only one thread to access a resource at a time.
Q031,R2,"Mutex plays an essential role in deadlocks, helping the operating system to function efficiently."
Q031,R3,"In simple terms, mutex refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q031,R1,Mutual exclusion lock for one process/thread access at a time.
Q031,R2,"Mutex plays an essential role in deadlocks, helping the operating system to function efficiently."
Q031,R3,"In simple terms, mutex refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q031,R1,Mutual exclusion lock for one process/thread access at a time.
Q031,R2,"Mutex plays an essential role in deadlocks, helping the operating system to function efficiently."
Q031,R3,"In simple terms, mutex refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q032,R1,"Mutex is for mutual exclusion with ownership, semaphore can allow multiple processes and has no ownership."
Q032,R2,"Difference  mutex  semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q032,R3,"In simple terms, difference  mutex  semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q032,R1,Mutex has ownership and allows single access; semaphore may allow multiple processes and has no ownership.
Q032,R2,"Difference  mutex  semaphore plays an essential role in deadlocks, helping the operating system to function efficiently."
Q032,R3,"In simple terms, difference  mutex  semaphore refers to a mechanism or principle used in deadlocks to manage processes or resources."
Q033,R1,"A classic synchronization problem where producers generate data and consumers use it, requiring proper synchronization to avoid race conditions."
Q033,R2,"Producer-consumer problem plays an essential role in synchronization, helping the operating system to function efficiently."
Q033,R3,"In simple terms, producer-consumer problem refers to a mechanism or principle used in synchronization to manage processes or resources."
Q034,R1,"Race condition occurs when multiple processes access shared data simultaneously, leading to inconsistent results."
Q034,R2,"Race condition plays an essential role in synchronization, helping the operating system to function efficiently."
Q034,R3,"In simple terms, race condition refers to a mechanism or principle used in synchronization to manage processes or resources."
Q035,R1,Critical section problem involves ensuring only one process executes a critical section at a time to prevent conflicts.
Q035,R2,"Critical section problem plays an essential role in synchronization, helping the operating system to function efficiently."
Q035,R3,"In simple terms, critical section problem refers to a mechanism or principle used in synchronization to manage processes or resources."
Q036,R1,"Busy waiting occurs when a process continuously checks a condition instead of sleeping, wasting CPU cycles."
Q036,R2,"Busy waiting plays an essential role in os basics, helping the operating system to function efficiently."
Q036,R3,"In simple terms, busy waiting refers to a mechanism or principle used in os basics to manage processes or resources."
Q037,R1,A monitor is a high-level synchronization construct that allows safe access to shared resources by multiple threads.
Q037,R2,"Monitor in os plays an essential role in os basics, helping the operating system to function efficiently."
Q037,R3,"In simple terms, monitor in os refers to a mechanism or principle used in os basics to manage processes or resources."
Q038,R1,"IPC allows processes to exchange data using methods like message passing, shared memory, pipes, and sockets."
Q038,R2,"Inter-process communication (ipc) plays an essential role in process management, helping the operating system to function efficiently."
Q038,R3,"In simple terms, inter-process communication (ipc) refers to a mechanism or principle used in process management to manage processes or resources."
Q039,R1,"Shared memory, message passing, pipes, sockets, and signals."
Q039,R2,"Name types of ipc plays an essential role in os basics, helping the operating system to function efficiently."
Q039,R3,"In simple terms, name types of ipc refers to a mechanism or principle used in os basics to manage processes or resources."
Q040,R1,"Pipe is a unidirectional communication channel between processes, usually in producer-consumer style."
Q040,R2,"Pipe in os plays an essential role in os basics, helping the operating system to function efficiently."
Q040,R3,"In simple terms, pipe in os refers to a mechanism or principle used in os basics to manage processes or resources."
Q041,R1,Shared memory allows multiple processes to access the same memory region for faster communication.
Q041,R2,"Shared memory plays an essential role in memory management, helping the operating system to function efficiently."
Q041,R3,"In simple terms, shared memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q042,R1,"Message passing allows processes to communicate by sending and receiving messages, suitable for distributed systems."
Q042,R2,"Message passing plays an essential role in os basics, helping the operating system to function efficiently."
Q042,R3,"In simple terms, message passing refers to a mechanism or principle used in os basics to manage processes or resources."
Q043,R1,"A file system manages how data is stored, organized, and accessed on storage devices."
Q043,R2,"File system plays an essential role in file systems, helping the operating system to function efficiently."
Q043,R3,"In simple terms, file system refers to a mechanism or principle used in file systems to manage processes or resources."
Q044,R1,"Sequential access, direct (random) access, and indexed access."
Q044,R2,"What are types of file access methods plays an essential role in file systems, helping the operating system to function efficiently."
Q044,R3,"In simple terms, what are types of file access methods refers to a mechanism or principle used in file systems to manage processes or resources."
Q045,R1,VFS is an abstraction layer that allows the OS to support multiple types of file systems in a uniform way.
Q045,R2,"Virtual file system (vfs) plays an essential role in file systems, helping the operating system to function efficiently."
Q045,R3,"In simple terms, virtual file system (vfs) refers to a mechanism or principle used in file systems to manage processes or resources."
Q046,R1,Fragmentation occurs when memory or disk space is used inefficiently. Types: internal and external fragmentation.
Q046,R2,"Fragmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q046,R3,"In simple terms, fragmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q047,R1,Compaction is combining free memory spaces to form larger contiguous blocks to reduce external fragmentation.
Q047,R2,"Compaction in memory management plays an essential role in memory management, helping the operating system to function efficiently."
Q047,R3,"In simple terms, compaction in memory management refers to a mechanism or principle used in memory management to manage processes or resources."
Q048,R1,Swapping moves processes between main memory and secondary storage to free memory for other processes.
Q048,R2,"Swapping plays an essential role in os basics, helping the operating system to function efficiently."
Q048,R3,"In simple terms, swapping refers to a mechanism or principle used in os basics to manage processes or resources."
Q049,R1,"Cache is a small, fast memory storing frequently accessed data, while virtual memory extends physical memory using disk."
Q049,R2,"Difference  cache  virtual memory plays an essential role in memory management, helping the operating system to function efficiently."
Q049,R3,"In simple terms, difference  cache  virtual memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q050,R1,A bootloader is a program that loads the operating system into memory during system startup.
Q050,R2,"Bootloader plays an essential role in os basics, helping the operating system to function efficiently."
Q050,R3,"In simple terms, bootloader refers to a mechanism or principle used in os basics to manage processes or resources."
Q051,R1,A system call is an interface for programs to request services from the OS kernel.
Q051,R2,"System call plays an essential role in system calls, helping the operating system to function efficiently."
Q051,R3,"In simple terms, system call refers to a mechanism or principle used in system calls to manage processes or resources."
Q052,R1,"Examples: open(), read(), write(), fork(), exec(), wait(), exit()."
Q052,R2,"Give examples of system calls plays an essential role in os basics, helping the operating system to function efficiently."
Q052,R3,"In simple terms, give examples of system calls refers to a mechanism or principle used in os basics to manage processes or resources."
Q053,R1,User mode has restricted access; kernel mode has full access to hardware and system resources.
Q053,R2,"Difference  user mode  kernel mode plays an essential role in os basics, helping the operating system to function efficiently."
Q053,R3,"In simple terms, difference  user mode  kernel mode refers to a mechanism or principle used in os basics to manage processes or resources."
Q054,R1,fork() creates a new process by duplicating the calling process.
Q054,R2,"Fork in os plays an essential role in system calls, helping the operating system to function efficiently."
Q054,R3,"In simple terms, fork in os refers to a mechanism or principle used in system calls to manage processes or resources."
Q055,R1,exec() replaces the current process image with a new program.
Q055,R2,"Exec in os plays an essential role in system calls, helping the operating system to function efficiently."
Q055,R3,"In simple terms, exec in os refers to a mechanism or principle used in system calls to manage processes or resources."
Q056,R1,A zombie process has completed execution but still has an entry in the process table to store exit status.
Q056,R2,"Zombie process plays an essential role in process management, helping the operating system to function efficiently."
Q056,R3,"In simple terms, zombie process refers to a mechanism or principle used in process management to manage processes or resources."
Q057,R1,"An orphan processs parent terminates before it, and it is adopted by the init process."
Q057,R2,"Orphprocess plays an essential role in process management, helping the operating system to function efficiently."
Q057,R3,"In simple terms, orphprocess refers to a mechanism or principle used in process management to manage processes or resources."
Q058,R1,"Init is the first process started by the kernel at boot, responsible for starting system services."
Q058,R2,"Init process plays an essential role in process management, helping the operating system to function efficiently."
Q058,R3,"In simple terms, init process refers to a mechanism or principle used in process management to manage processes or resources."
Q059,R1,"New, Ready, Running, Waiting (Blocked), Terminated."
Q059,R2,"What are different states of process plays an essential role in process management, helping the operating system to function efficiently."
Q059,R3,"In simple terms, what are different states of process refers to a mechanism or principle used in process management to manage processes or resources."
Q060,R1,Ready queue holds all processes in main memory that are ready to execute.
Q060,R2,"Ready queue plays an essential role in os basics, helping the operating system to function efficiently."
Q060,R3,"In simple terms, ready queue refers to a mechanism or principle used in os basics to manage processes or resources."
Q061,R1,Waiting queue holds processes waiting for I/O or other events.
Q061,R2,"Waiting queue plays an essential role in os basics, helping the operating system to function efficiently."
Q061,R3,"In simple terms, waiting queue refers to a mechanism or principle used in os basics to manage processes or resources."
Q062,R1,I/O scheduling determines the order in which I/O operations are processed to improve efficiency.
Q062,R2,"I/o scheduling plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q062,R3,"In simple terms, i/o scheduling refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q063,R1,"FCFS, SSTF (Shortest Seek Time First), SCAN, C-SCAN, LOOK, C-LOOK."
Q063,R2,"Name i/o scheduling algorithms plays an essential role in cpu scheduling, helping the operating system to function efficiently."
Q063,R3,"In simple terms, name i/o scheduling algorithms refers to a mechanism or principle used in cpu scheduling to manage processes or resources."
Q064,R1,Only pages required by a process are loaded into memory on demand.
Q064,R2,"Dem-paged virtual memory plays an essential role in memory management, helping the operating system to function efficiently."
Q064,R3,"In simple terms, dem-paged virtual memory refers to a mechanism or principle used in memory management to manage processes or resources."
Q065,R1,Copy-on-write delays copying of shared resources until a modification occurs.
Q065,R2,"Copy-on-write plays an essential role in os basics, helping the operating system to function efficiently."
Q065,R3,"In simple terms, copy-on-write refers to a mechanism or principle used in os basics to manage processes or resources."
Q066,R1,Swap space is disk space used to temporarily hold memory pages that cannot fit in RAM.
Q066,R2,"Swap space plays an essential role in virtual memory, helping the operating system to function efficiently."
Q066,R3,"In simple terms, swap space refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q067,R1,Boot process is the sequence of steps to start a computer and load the OS.
Q067,R2,"Boot process plays an essential role in process management, helping the operating system to function efficiently."
Q067,R3,"In simple terms, boot process refers to a mechanism or principle used in process management to manage processes or resources."
Q068,R1,RTOS is an OS designed to handle time-critical tasks with predictable response times.
Q068,R2,"Real-time operating system (rtos) plays an essential role in os basics, helping the operating system to function efficiently."
Q068,R3,"In simple terms, real-time operating system (rtos) refers to a mechanism or principle used in os basics to manage processes or resources."
Q069,R1,Hard RTOS guarantees task completion within a deadline; soft RTOS aims for best-effort timing.
Q069,R2,"Difference  hard  soft rtos plays an essential role in os basics, helping the operating system to function efficiently."
Q069,R3,"In simple terms, difference  hard  soft rtos refers to a mechanism or principle used in os basics to manage processes or resources."
Q070,R1,A distributed OS manages resources and processes across multiple networked computers as a single system.
Q070,R2,"Distributed operating system plays an essential role in os basics, helping the operating system to function efficiently."
Q070,R3,"In simple terms, distributed operating system refers to a mechanism or principle used in os basics to manage processes or resources."
Q071,R1,"NOS provides services to computers connected in a network, like file sharing and printer access."
Q071,R2,"Network operating system plays an essential role in os basics, helping the operating system to function efficiently."
Q071,R3,"In simple terms, network operating system refers to a mechanism or principle used in os basics to manage processes or resources."
Q072,R1,"Microkernel contains minimal core services like communication, scheduling, and memory management."
Q072,R2,"Microkernel plays an essential role in os basics, helping the operating system to function efficiently."
Q072,R3,"In simple terms, microkernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q073,R1,Monolithic kernel contains all OS services in one large block of code running in kernel mode.
Q073,R2,"Monolithic kernel plays an essential role in os basics, helping the operating system to function efficiently."
Q073,R3,"In simple terms, monolithic kernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q074,R1,Hybrid kernel combines features of microkernel and monolithic kernel for performance and modularity.
Q074,R2,"Hybrid kernel plays an essential role in os basics, helping the operating system to function efficiently."
Q074,R3,"In simple terms, hybrid kernel refers to a mechanism or principle used in os basics to manage processes or resources."
Q075,R1,Paging uses fixed-size blocks; segmentation uses variable-size logical divisions of memory.
Q075,R2,"Paging vs segmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q075,R3,"In simple terms, paging vs segmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q076,R1,"process of selecting a memory page to remove when physical memory is full so a new page can be loaded."
Q076,R2,"OS technique used to decide which page in RAM should be swapped out to make space for a new page when a page fault occurs"
Q076,R3,"It is the algorithm used by the operating system to replace an existing page in memory with another page from disk whenever memory is full."
Q077,R1,"FIFO, LRU (Least Recently Used), Optimal, Clock."
Q077,R2,"Name page replacement algorithms plays an essential role in virtual memory, helping the operating system to function efficiently."
Q077,R3,"In simple terms, name page replacement algorithms refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q078,R1,FIFO removes the oldest page in memory first when replacement is needed.
Q078,R2,"Fifo page replacement plays an essential role in virtual memory, helping the operating system to function efficiently."
Q078,R3,"In simple terms, fifo page replacement refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q079,R1,LRU removes the page that has not been used for the longest time.
Q079,R2,"Lru page replacement plays an essential role in virtual memory, helping the operating system to function efficiently."
Q079,R3,"In simple terms, lru page replacement refers to a mechanism or principle used in virtual memory to manage processes or resources."
Q080,R1,Working set model keeps track of pages recently used to reduce page faults.
Q080,R2,"Working set model plays an essential role in os basics, helping the operating system to function efficiently."
Q080,R3,"In simple terms, working set model refers to a mechanism or principle used in os basics to manage processes or resources."
Q081,R1,Segmentation fault occurs when a process accesses memory it is not allowed to.
Q081,R2,"Segmentation fault plays an essential role in memory management, helping the operating system to function efficiently."
Q081,R3,"In simple terms, segmentation fault refers to a mechanism or principle used in memory management to manage processes or resources."
Q082,R1,"Memory leak occurs when a program allocates memory but fails to release it, reducing available memory."
Q082,R2,"Memory leak plays an essential role in memory management, helping the operating system to function efficiently."
Q082,R3,"In simple terms, memory leak refers to a mechanism or principle used in memory management to manage processes or resources."
Q083,R1,Only the required segment of a program is loaded into memory when needed.
Q083,R2,"Dem segmentation plays an essential role in memory management, helping the operating system to function efficiently."
Q083,R3,"In simple terms, dem segmentation refers to a mechanism or principle used in memory management to manage processes or resources."
Q084,R1,"Superblock contains metadata about the file system, like size, free blocks, and inode count."
Q084,R2,"Superblock in file systems plays an essential role in file systems, helping the operating system to function efficiently."
Q084,R3,"In simple terms, superblock in file systems refers to a mechanism or principle used in file systems to manage processes or resources."
Q085,R1,"Inode stores metadata about a file, like permissions, ownership, and pointers to data blocks."
Q085,R2,"Inode plays an essential role in file systems, helping the operating system to function efficiently."
Q085,R3,"In simple terms, inode refers to a mechanism or principle used in file systems to manage processes or resources."
Q086,R1,"FAT, NTFS, ext2/ext3/ext4, HFS, APFS, XFS."
Q086,R2,"What are types of file systems plays an essential role in file systems, helping the operating system to function efficiently."
Q086,R3,"In simple terms, what are types of file systems refers to a mechanism or principle used in file systems to manage processes or resources."
Q087,R1,Journaling logs changes before writing to the main file system to prevent corruption after crashes.
Q087,R2,"Journaling in file systems plays an essential role in file systems, helping the operating system to function efficiently."
