question_id,question_text
Q411,What is multilevel queue scheduling?
Q412,What is multilevel feedback queue scheduling?
Q413,What is a file system?
Q414,What are file access methods?
Q415,What is virtual file system (VFS)?
Q416,What is fragmentation?
Q417,What is compaction?
Q418,What is swapping?
Q419,Difference between cache and virtual memory?
Q420,What is a bootloader?
Q421,What is a system call?
Q422,Examples of system calls?
Q423,Difference between user mode and kernel mode?
Q424,What is fork()?
Q425,What is exec()?
Q426,What is a zombie process?
Q427,What is an orphan process?
Q428,What is init process?
Q429,What is I/O scheduling?
Q430,Name I/O scheduling algorithms.
Q431,What is synchronous I/O?
Q432,What is asynchronous I/O?
Q433,What is a real-time OS (RTOS)?
Q434,Difference between hard and soft RTOS?
Q435,What is a distributed OS?
Q436,What is a network OS (NOS)?
Q437,Difference between monolithic and microkernel?
Q438,What is a hybrid kernel?
Q439,What is a loadable kernel module (LKM)?
Q440,What is a daemon process?
Q441,What is bootstrapping?
Q442,What is slab allocation?
Q443,What is a spinlock?
Q444,What is a distributed file system?
Q445,What is kernel panic?
Q446,What is memory-mapped I/O?
Q447,What is a page table?
Q448,What is an inverted page table?
Q449,What is a TLB?
Q450,What is segmentation fault?
Q451,What is demand segmentation?
Q452,What is a superblock?
Q453,What is journaling?
Q454,What is FAT?
Q455,What is NTFS?
Q456,What is an inode?
Q457,What is RAID?
Q458,What are RAID levels?
Q459,What is DMA?
Q460,What is a pipe?
Q461,What is a socket?
Q462,What is IPC?
Q463,What is shared memory in IPC?
Q464,What is a message queue?
Q465,What is a semaphore in OS?
Q466,Difference between counting and binary semaphore?
Q467,What is a mutex?
Q468,Difference between mutex and semaphore?
Q469,What is deadlock?
Q470,Necessary conditions for deadlock?
Q471,What is deadlock prevention?
Q472,What is deadlock avoidance?
Q473,What is deadlock detection?
Q474,What is deadlock recovery?
Q475,What is process synchronization?
Q476,What is a critical section?
Q477,Methods to solve critical section problem?
Q478,What is Petersonýs solution?
Q479,What is a spinlock?
Q480,What is a kernel thread?
Q481,What is a user thread?
Q482,Advantages of multithreading?
Q483,What is thread context switch?
Q484,What is process control block (PCB)?
Q485,What are process states?
Q486,What is a ready queue?
Q487,What is a waiting queue?
Q488,What is CPU scheduling?
Q489,Name CPU scheduling algorithms.
Q490,What is FCFS scheduling?
Q491,What is SJF scheduling?
Q492,What is preemptive scheduling?
Q493,What is non-preemptive scheduling?
Q494,What is round-robin scheduling?
Q495,What is priority scheduling?
Q496,What is starvation?
Q497,What is aging in CPU scheduling?
Q498,What is multilevel queue scheduling?
Q499,What is multilevel feedback queue scheduling?
Q500,What is a file system?
